2026-03-14 17:41:23 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:41:23 | INFO | app | GET /static/css/dashboard.css -> 200
2026-03-14 17:45:21 | INFO | app | GET /dashboard
2026-03-14 17:45:21 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:21 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:45:21 | INFO | app | GET /static/css/dashboard.css -> 200
2026-03-14 17:45:21 | INFO | app | GET /static/js/dashboard.js
2026-03-14 17:45:21 | INFO | app | GET /static/js/dashboard.js -> 304
2026-03-14 17:45:31 | INFO | app | GET /dashboard
2026-03-14 17:45:31 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:31 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:45:31 | INFO | app | GET /uploads/69741751_20260314150227.jpeg
2026-03-14 17:45:31 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:45:31 | INFO | app | GET /uploads/69741751_20260314150227.jpeg -> 304
2026-03-14 17:45:36 | INFO | app | GET /dashboard
2026-03-14 17:45:36 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:36 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:45:36 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:45:36 | INFO | app | GET /dashboard
2026-03-14 17:45:36 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:36 | INFO | app | GET /dashboard
2026-03-14 17:45:36 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:36 | INFO | app | GET /dashboard
2026-03-14 17:45:36 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:36 | INFO | app | GET /dashboard
2026-03-14 17:45:36 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:37 | INFO | app | GET /dashboard
2026-03-14 17:45:37 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:37 | INFO | app | GET /dashboard
2026-03-14 17:45:37 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:37 | INFO | app | GET /dashboard
2026-03-14 17:45:37 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:37 | INFO | app | GET /dashboard
2026-03-14 17:45:37 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:37 | INFO | app | GET /dashboard
2026-03-14 17:45:37 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:38 | INFO | app | GET /dashboard
2026-03-14 17:45:38 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:38 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:45:38 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:45:38 | INFO | app | GET /dashboard
2026-03-14 17:45:38 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:38 | INFO | app | GET /dashboard
2026-03-14 17:45:38 | INFO | app | GET /dashboard -> 200
2026-03-14 17:45:57 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:45:57 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:45:57 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:45:57 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:46:34 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:46:34 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:47:24 | INFO | app | GET /dashboard
2026-03-14 17:47:24 | INFO | app | GET /dashboard -> 200
2026-03-14 17:47:24 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:47:24 | INFO | app | GET /static/css/dashboard.css -> 200
